id_building,price_m2,easting,northing,id_cadas_com,floors_total,floor_entrance,year_built,year_ren_roof,year_ren_face,constr_type,elevator,house_type,no_appart,trans_date,floor_appartment,postion_type,duplex,living_area,total_area,year_ren_wind,year_ren_inst,floor_above_ground,dist_airport,dist_public_transport,elevation,dist_schools,dist_highway_entr,dist_highway,dist_railway,dist_recreation,dist_main_roads,dist_regional_roads,dist_river,construct_age,roof_age,facade_age,inst_age,windows_age
5193,1611,464831.72,100587.42,1732,6,2,1977-10-13,2004-10-13,1977-10-13,concrete,0,single,95,2012-04-16,1,floor,0,21.1,23.3,1977-10-13,1977-10-13,1,20843.46484,223.6067963,290,300,2469.817871,2416.609131,824.6211548,360.5551147,100,2529.822021,141.4213562,12604,2742,12604,12604,12604
5194,2085,464831.72,100587.42,1732,6,2,1977-10-13,2004-10-13,1977-10-13,concrete,0,single,95,2009-12-21,4,floor,0,21.1,23.3,1977-10-13,1977-10-13,4,20843.46484,223.6067963,290,300,2469.817871,2416.609131,824.6211548,360.5551147,100,2529.822021,141.4213562,11757,1895,11757,11757,11757
5195,2133,464831.72,100587.42,1732,6,2,1977-10-13,2004-10-13,1977-10-13,concrete,0,single,95,2010-01-22,4,floor,0,21.1,23.3,1977-10-13,1977-10-13,4,20843.46484,223.6067963,290,300,2469.817871,2416.609131,824.6211548,360.5551147,100,2529.822021,141.4213562,11789,1927,11789,11789,11789
5196,1795,460155.27,98661.06,1722,2,1,1971-10-13,1971-10-13,1971-10-13,brick,0,single,3,2011-11-21,2,ground_floor,0,39,39,1971-10-13,1971-10-13,2,21951.31055,583.0952148,292,900,1208.304565,100,1252.99646,2319.482666,1118.033936,1303.840454,141.4213562,14649,14649,14649,14649,14649
5197,1630,465130.92,100956.41,1732,6,1,1975-10-13,1992-10-13,1975-10-13,concrete,0,single,48,2011-06-13,1,floor,1,55.2,62.4,1975-10-13,1975-10-13,1,20649.69727,360.5551147,284,100,2059.125977,2012.461182,800,728.0109863,400,2158.703369,360.5551147,13027,6817,13027,13027,13027
5198,2893,460250.92,103616.22,1739,16,1,1967-10-13,2004-10-13,2005-10-13,concrete,1,single,132,2011-12-02,3,floor,0,26.1,30.1,1967-10-13,1967-10-13,3,16975.57031,141.4213562,306,0,400,300,632.4555054,1077.032959,141.4213562,3138.470947,1131.37085,16121,2606,2241,16121,16121
5199,1247,460250.92,103616.22,1739,16,1,1967-10-13,2004-10-13,2005-10-13,concrete,1,single,132,2009-09-30,4,floor,0,43.3,49.2,1967-10-13,1967-10-13,4,16975.57031,141.4213562,306,0,400,300,632.4555054,1077.032959,141.4213562,3138.470947,1131.37085,15328,1813,1448,15328,15328
5200,2442,460250.92,103616.22,1739,16,1,1967-10-13,2004-10-13,2005-10-13,concrete,1,single,132,2012-06-06,12,floor,0,43,49.2,2004-10-13,1967-10-13,12,16975.57031,141.4213562,306,0,400,300,632.4555054,1077.032959,141.4213562,3138.470947,1131.37085,16308,2793,2428,16308,2793
5201,2447,462689.48,99904.03,2677,7,2,1964-10-13,1999-10-13,1964-10-13,combination_of_different_materials,0,other,62,2013-03-13,2,floor,0,56.8,66,1994-10-13,1964-10-13,2,21004.04688,282.8427124,293,200,2195.449951,1941.648804,141.4213562,100,0,2647.640381,0,17683,4900,17683,17683,6726
5202,2188,465797.64,101145.62,1730,16,1,1981-10-13,1981-10-13,1981-10-13,combination_of_different_materials,1,single,124,2012-01-27,5,floor,0,45.7,49.8,2000-10-13,1981-10-13,5,20692.99414,100,286,100,1612.451538,1503.32959,400,1272.792236,300,1902.629761,282.8427124,11063,11063,11063,11063,4123
5203,2574,465797.64,101145.62,1730,16,1,1981-10-13,1981-10-13,1981-10-13,combination_of_different_materials,1,single,124,2011-12-12,1,floor,0,40.4,49.8,1981-10-13,1981-10-13,1,20692.99414,100,286,100,1612.451538,1503.32959,400,1272.792236,300,1902.629761,282.8427124,11017,11017,11017,11017,11017
5204,1944,465797.64,101145.62,1730,16,1,1981-10-13,1981-10-13,1981-10-13,combination_of_different_materials,1,single,124,2011-10-20,3,floor,0,63.8,73.2,1981-10-13,1981-10-13,3,20692.99414,100,286,100,1612.451538,1503.32959,400,1272.792236,300,1902.629761,282.8427124,10964,10964,10964,10964,10964
5205,717,461511.35,99573.67,1722,7,1,1967-10-13,1967-10-13,1967-10-13,brick,0,single,33,2011-03-11,2,floor,0,23.7,27.4,1967-10-13,1967-10-13,2,21100.23633,141.4213562,291,300,1603.121948,1300,1118.033936,1204.159424,100,2517.935547,360.5551147,15855,15855,15855,15855,15855
5206,2162,463102.72,104166.02,1735,6,1,1977-10-13,2013-10-13,2011-10-13,concrete,0,single,63,2008-02-18,3,floor,0,74,75.8,1977-10-13,1977-10-13,3,16909.75977,447.2135925,302,300,500,200,1004.987549,860.2325439,400,707.1068115,894.4271851,11085,11085,11085,11085,11085
5207,1769,463102.72,104166.02,1735,6,1,1977-10-13,2013-10-13,2011-10-13,concrete,0,single,63,2010-07-02,2,ground_floor,0,53.7,55.2,2004-10-13,2004-10-13,2,16909.75977,447.2135925,302,300,500,200,1004.987549,860.2325439,400,707.1068115,894.4271851,11950,11950,11950,2088,2088
5208,3053,464367.12,98176.76,1696,3,1,2007-10-13,2007-10-13,2007-10-13,other_material,0,other,3,2009-04-15,1,floor,0,54.7,72.8,2007-10-13,2007-10-13,1,23016.95117,316.2277527,291,800,1345.362427,1140.175415,0,316.2277527,100,1389.244385,848.5281372,550,550,550,550,550
5209,2303,464267.25,107301.69,1756,5,2,2000-10-13,2000-10-13,2000-10-13,combination_of_different_materials,0,single,47,2010-03-11,2,floor,0,52.1,52.1,2000-10-13,2000-10-13,2,14338.75879,100,305,400,3125.699951,2961.418457,800,1500,538.5164795,921.9544678,223.6067963,3436,3436,3436,3436,3436
5210,2313,462984,103802,1736,12,1,1977-10-13,1997-10-13,1977-10-13,concrete,0,raw,34,2011-01-20,3,floor,0,56.2,59.1,1977-10-13,2007-10-13,3,17269.91602,400,301,100,761.5773315,600,1004.987549,1252.99646,360.5551147,943.3981323,1300,12152,4847,12152,1195,12152
5211,2465,462984,103802,1736,12,1,1977-10-13,1997-10-13,1977-10-13,concrete,0,raw,34,2011-02-02,1,floor,0,50.7,59,1977-10-13,1977-10-13,1,17269.91602,400,301,100,761.5773315,600,1004.987549,1252.99646,360.5551147,943.3981323,1300,12165,4860,12165,12165,12165
5212,2170,459683.08,99643.28,1723,6,1,1978-10-13,1978-10-13,1978-10-13,concrete,0,single,42,2009-12-24,1,floor,0,62.2,64.8,1978-10-13,1978-10-13,1,20928.92773,200,293,200,860.2325439,721.1102295,223.6067963,1303.840454,100,761.5773315,0,11395,11395,11395,11395,11395
5213,2658,459683.08,99643.28,1723,6,1,1978-10-13,1978-10-13,1978-10-13,concrete,0,single,42,2010-12-21,2,floor,0,47.5,55.9,2010-10-13,1978-10-13,2,20928.92773,200,293,200,860.2325439,721.1102295,223.6067963,1303.840454,100,761.5773315,0,11757,11757,11757,11757,69
5214,3220,462939.86,102936.98,2636,6,1,1960-10-13,1960-10-13,1997-10-13,combination_of_different_materials,1,single,45,2012-01-16,4,floor,0,36.8,37.6,1960-10-13,1960-10-13,4,18117.67188,400,299,100,1581.138794,1442.220459,1104.536133,1969.771606,223.6067963,1640.121948,1923.538452,18722,18722,5208,18722,18722
