"ID_building","price_m2","easting","northing","ID_cadas_com","floors_total","floor_entrance","year_built","year_ren_roof","year_ren_face","constr_type","elevator","house_type","no_appart","trans_date","floor_appartment","postion_type","duplex","living_area","total_area","year_ren_wind","year_ren_inst","floor_above_ground","dist_airport","dist_public_transport","elevation","dist_schools","dist_highway_entr","dist_highway","dist_railway","dist_recreation","dist_main_roads","dist_regional_roads","dist_river","construct_age","roof_age","facade_age","inst_age","windows_age"
3249,2683,462995.06,102109.82,"2636",7,1,1966-10-13,1966-10-13,1966-10-13,"2","0","1",45,2010-08-24,1,"3","0",28.7,31.1,1995-10-13,1966-10-13,1,18918.7734375,316.227752685547,298,100,2247.22045898438,2118.9619140625,400,1655.29455566406,141.421356201172,2284.73193359375,1166.1904296875,16021,16021,16021,16021,5429
3250,2420,459498.01,104491.16,"1738",9,1,1983-10-13,2004-10-13,1983-10-13,"2","1","2",74,2010-10-18,3,"3","0",40.5,45.2,1983-10-13,1983-10-13,3,16025.29296875,282.842712402344,311,300,707.106811523438,700,670.820373535156,1923.53845214844,360.555114746094,2012.46118164062,509.901947021484,9867,2196,9867,9867,9867
3251,2351,463636.84,106149.44,"1756",4,2,1951-10-13,2011-10-13,2010-10-13,"1","0","2",10,2011-09-27,2,"2","0",35.3,39.4,2003-10-13,1999-10-13,2,15243.359375,200,289,100,1835.75598144531,1676.30541992188,300,400,300,921.954467773438,300,21899,21899,349,4367,2906
3252,1760,460389.28,103594.06,"1739",13,1,1968-10-13,1999-10-13,2003-10-13,"2","1","4",66,2011-09-08,8,"3","0",68.2,75.2,1968-10-13,1968-10-13,8,16995.587890625,141.421356201172,305,100,447.213592529297,360.555114746094,447.213592529297,1104.5361328125,0,3244.99609375,1280.62487792969,15670,4348,2887,15670,15670
3253,2920,465315.97,101145.82,"1732",7,2,1976-10-13,1998-10-13,1976-10-13,"5","0","4",14,2012-05-15,2,"3","0",27.4,31.5,1976-10-13,1976-10-13,2,20524.375,100,286,200,1788.85437011719,1746.42492675781,538.516479492188,984.885803222656,300,1923.53845214844,141.421356201172,12998,4963,12998,12998,12998
3254,2110,460648.77,103254.74,"1739",14,2,1977-10-13,1977-10-13,1977-10-13,"2","1","1",113,2012-06-05,5,"3","0",41.7,42.7,1977-10-13,1977-10-13,5,17415.22265625,100,304,200,894.427185058594,806.225769042969,538.516479492188,707.106811523438,100,3383.78491210938,1264.91101074219,12654,12654,12654,12654,12654
3255,2296,466628.36,101111,"1772",15,2,1986-10-13,1986-10-13,1986-10-13,"2","1","1",348,2010-05-17,6,"3","0",39.2,48,1986-10-13,1986-10-13,6,20984.755859375,141.421356201172,282,300,824.621154785156,707.106811523438,538.516479492188,1581.13879394531,200,1421.26708984375,316.227752685547,8617,8617,8617,8617,8617
3256,3150,460701.47,103162.35,"1739",11,1,1967-10-13,1997-10-13,1967-10-13,"2","1","1",163,2010-02-12,4,"3","0",25.4,30.5,1967-10-13,1967-10-13,4,17526.265625,100,303,200,1029.56298828125,943.398132324219,500,632.455505371094,0,3324.15405273438,1334.16638183594,15463,4505,15463,15463,15463
3257,3456,463932.48,101100.44,"1727",6,1,1998-10-13,1998-10-13,1998-10-13,"2","1","1",11,2010-12-31,2,"2","0",70.9,74.8,1998-10-13,1998-10-13,2,20110.94140625,100,288,300,2549.509765625,2545.58447265625,100,400,100,2549.509765625,100,4462,4462,4462,4462,4462
3258,2217,460701.47,103162.35,"1739",11,1,1967-10-13,1997-10-13,1967-10-13,"2","1","1",163,2009-10-16,2,"3","0",42.9,42.9,1967-10-13,1967-10-13,2,17526.265625,100,303,200,1029.56298828125,943.398132324219,500,632.455505371094,0,3324.15405273438,1334.16638183594,15344,4386,15344,15344,15344
3259,2273,463058.46,101524.21,"1737",4,1,1929-10-13,1960-10-13,1960-10-13,"1","0","1",4,2008-12-05,2,"4","0",57.2,59.5,1985-10-13,1929-10-13,2,19502.8203125,100,295,400,2816.02563476562,2683.28149414062,200,1140.17541503906,100,2846.0498046875,632.455505371094,28908,17585,17585,28908,8454
